GLOBAL,CATEGORY,YEAR,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,TYPE,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TTO,TUN,TUR,TKM,TCA,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,Tonga,Kiribati,Maldives,Tuvalu,Faroe Islands,French Polynesia,Guadeloupe,Guam,Martinique,New Caledonia,Northern Mariana Islands,Réunion,European Union,
,LDC Summary Trade data,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Has your country found itself unable to comply with a specific obligation or commitments in the WTO?,,,,0=[0xE41A1C][No] 1=[0x4DAF4A][Yes] 2=[0x377EB8][No Answer],,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,0,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Has your country brought its inability to comply with a specific WTO obligation to the attention of the WTO General Council?,,,,0=[0xE41A1C][No] 1=[0x4DAF4A][Yes] 2=[0x377EB8][No Answer],,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,1,,1,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,1,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Do you anticipate that your country may encounter difficulties in complying with WTO commitments and bring such difficulties to the General Council?,,,,0=[0xE41A1C][No] 1=[0x4DAF4A][Yes] 2=[0x377EB8][No Answer],,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,1,,1,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,0,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Has your country made reduction commitments related to domestic support measures in favour of agricultural producers?,,,,0=[0xE41A1C][No] 1=[0x4DAF4A][Yes] 2=[0x377EB8][No Answer],,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,,0,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,1,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Has your country received food aid and assistance pursuant to the Decision on the possible negative effects of the reform program on LDCs?,,,,0=[0xE41A1C][No] 1=[0x4DAF4A][Yes] 2=[0x377EB8][No Answer],,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,0,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,0,,,,,,,1,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Do representatives from your country participate in the meetings of the standard-setting organizations?,,,,0=[0xE41A1C][No] 1=[0x4DAF4A][Yes] 2=[0x377EB8][No Answer],,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Do representatives from your country participate in the meetings of the SPS Committee?,,,,0=[0xE41A1C][No] 1=[0x4DAF4A][Yes] 2=[0x377EB8][No Answer],,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,0,,1,,,,,,,,,,,,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"In the last 5 years, were exports from your country rejected to enter into other countries due to non-compliance to SPS requirements?",,,,0=[0xE41A1C][No] 1=[0x4DAF4A][Yes] 2=[0x377EB8][No Answer],,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,1,,1,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Have exports rejected due to non-compliance to SPS requirements been brought to the attention of your Government?,,,,0=[0xE41A1C][No] 1=[0x4DAF4A][Yes] 2=[0x377EB8][No Answer],,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,1,,1,,,,,,,,,,,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"In the last 5 years, did your country receive technical and/or financial assistance to enhance its SPS-related capacity?",,,,0=[0xE41A1C][No] 1=[0x4DAF4A][Yes] 2=[0x377EB8][No Answer],,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Has your country notified to the WTO potential difficulties due to the proposed SPS regulations?,,,,0=[0xE41A1C][No] 1=[0x4DAF4A][Yes] 2=[0x377EB8][No Answer],,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,0,,0,,,,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Has your country received technical and/or financial assistance through the Standards and Trade Development Facility (STDF)?,,,,0=[0xE41A1C][No] 1=[0x4DAF4A][Yes] 2=[0x377EB8][No Answer],,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,1,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"In the last 5 years, have exports from your country been rejected due to non-compliance to technical regulations?",,,,0=[0xE41A1C][No] 1=[0x4DAF4A][Yes] 2=[0x377EB8][No Answer],,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,1,,0,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,1,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Have exports rejected due to non-compliance to technical regulations been brought to the attention of your Government?,,,,0=[0xE41A1C][No] 1=[0x4DAF4A][Yes] 2=[0x377EB8][No Answer],,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,1,,2,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,0,,,,,,,1,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Did your country benefit from assistance from countries regarding the establishment of regulatory bodies and meeting technical regulations?,,,,0=[0xE41A1C][No] 1=[0x4DAF4A][Yes] 2=[0x377EB8][No Answer],,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,1,,1,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"In the last 5 years, did your country express its  'specific trade concerns ' regarding technical regulations or standards?",,,,0=[0xE41A1C][No] 1=[0x4DAF4A][Yes] 2=[0x377EB8][No Answer],,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,1,,0,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,,,,,,,,,,,,,,,0,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Has your country requested exceptions from obligations under the TBT Agreement pursuant to Article 12.8?,,,,0=[0xE41A1C][No] 1=[0x4DAF4A][Yes] 2=[0x377EB8][No Answer],,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,,0,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Did your country notify the WTO that it maintained TRIMs that were not in conformity with the TRIMs Agreement under Article 5.1 of that Agreement?,,,,0=[0xE41A1C][No] 1=[0x4DAF4A][Yes] 2=[0x377EB8][No Answer],,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,,0,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,1,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Did your country eliminate TRIMs not in conformity with the TRIMS Agreement within the seven year phase-out period?,,,,0=[0xE41A1C][No] 1=[0x4DAF4A][Yes] 2=[0x377EB8][No Answer],,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,2,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,,0,,,,,,,,,,,,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,0,,,,2,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Did your country request an extension of this period under Article 5.3 of the TRIMs Agreement?,,,,0=[0xE41A1C][No] 1=[0x4DAF4A][Yes] 2=[0x377EB8][No Answer],,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,,0,,,,,,,,,,,,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,0,,,,2,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Has your country introduced new measures that deviate from the obligations of the TRIMs Agreement?,,,,0=[0xE41A1C][No] 1=[0x4DAF4A][Yes] 2=[0x377EB8][No Answer],,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,,0,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,1,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Has your country resorted to the provisions related to Special and Differential Treatment in the Customs Valuation Agreement?,,,,0=[0xE41A1C][No] 1=[0x4DAF4A][Yes] 2=[0x377EB8][No Answer],,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,1,,1,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Do representatives of your country attend the regular meetings of the Committee on Import Licensing?,,,,0=[0xE41A1C][No] 1=[0x4DAF4A][Yes] 2=[0x377EB8][No Answer],,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,,1,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Does your government grant export subsidies as defined in Article 3.1 of the Agreement on Subsidies and Countervailing Measures?,,,,0=[0xE41A1C][No] 1=[0x4DAF4A][Yes] 2=[0x377EB8][No Answer],,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,,0,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Have exports benefiting from subsidies under Art.3.1 of the Agr. on Subsidies been subject to countervailing measures?,,,,0=[0xE41A1C][No] 1=[0x4DAF4A][Yes] 2=[0x377EB8][No Answer],,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,2,,,,,,,,0,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,0,,0,,,,,,,,,,,,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,2,,,,2,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Has your country achieved export competitiveness in any product receiving export subsidies in the sense of Article 27.6 of the Agreement?,,,,0=[0xE41A1C][No] 1=[0x4DAF4A][Yes] 2=[0x377EB8][No Answer],,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,2,,,,,,,,0,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,2,0,,0,,,,,,,,,,,,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,0,,,,,,,,,,,,,,,2,,,,,,,2,,,,2,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
